"Text"   ,"FirstPerson","InnerThinking","ThinkPositive","ThinkNegative","ThinkAhead","ThinkBack","Reasoning","Share_SocTies","Direct_Activity","Interacting","Notifying","LinearGuidance","WordPicture","SpaceInterval","Motion","PastEvents","TimeInterval","ShiftingEvents","Text_Coverage","Genre","Counter","Corpus","Corp.Genre"
G58.TXT  ,0.09         ,3.04           ,1.26           ,1.78           ,1.39        ,0.39       ,2.3        ,2              ,0.22             ,0.3          ,1.74       ,5.91            ,5.26         ,0.83           ,0.26    ,3.3         ,1.26          ,0.78            ,32.11          ,7      ,247      ,1       ,107
G59.TXT  ,0.04         ,3.29           ,0.43           ,1.69           ,1.08        ,0.74       ,2.95       ,2.69           ,0.13             ,0.17         ,2.86       ,5.55            ,4.33         ,1              ,0.43    ,1.95        ,0.69          ,0.78            ,30.8           ,7      ,248      ,1       ,107
G60.TXT  ,2.14         ,2.5            ,1.16           ,1.52           ,1.43        ,0.71       ,2.73       ,1.16           ,0.18             ,0.18         ,2.77       ,5               ,6.21         ,1.79           ,0.54    ,3.31        ,0.76          ,0.85            ,34.94          ,7      ,249      ,1       ,107
G61.TXT  ,0            ,3.23           ,0.43           ,1.29           ,0.56        ,0.99       ,2.62       ,2.28           ,0.17             ,0.26         ,3.66       ,3.31            ,3.35         ,0.77           ,0.09    ,1.12        ,1.55          ,1.29            ,26.97          ,7      ,250      ,1       ,107
G62.TXT  ,0.04         ,1.79           ,0.74           ,1.57           ,0.92        ,0.52       ,1.79       ,2.1            ,0.13             ,0.17         ,2.93       ,2.97            ,6.73         ,1.09           ,0.17    ,2.36        ,1.66          ,0.66            ,28.34          ,7      ,251      ,1       ,107
G63.TXT  ,0.05         ,2.22           ,0.54           ,2.17           ,0.54        ,0.14       ,2.22       ,2.63           ,0.09             ,0.09         ,3.44       ,2.58            ,3.85         ,0.91           ,0.23    ,1.22        ,0.86          ,0.91            ,24.69          ,7      ,252      ,1       ,107
G64.TXT  ,0.76         ,1.43           ,0.67           ,0.34           ,1.01        ,0.5        ,1.3        ,0.84           ,0.17             ,0.25         ,1.34       ,5.08            ,3.66         ,0.42           ,0.21    ,3.24        ,1.68          ,0.5             ,23.4           ,7      ,253      ,1       ,107
G65.TXT  ,0            ,3.43           ,0.62           ,1.65           ,1.2         ,0.71       ,4.55       ,3.17           ,0.36             ,0.09         ,2.63       ,6.15            ,2.9          ,0.4            ,0.4     ,1.6         ,1.74          ,0.53            ,32.13          ,7      ,254      ,1       ,107
G66.TXT  ,2.48         ,2.27           ,0.73           ,1.11           ,0.6         ,1.76       ,2.27       ,1.24           ,0.13             ,0.43         ,1.97       ,6.6             ,6.25         ,0.86           ,0.21    ,2.48        ,1.63          ,1.37            ,34.39          ,7      ,255      ,1       ,107
G67.TXT  ,0.54         ,2.08           ,0.58           ,0.67           ,1.62        ,1.12       ,2.41       ,1.04           ,0.29             ,0.46         ,2.33       ,7.99            ,4.24         ,1.04           ,0.37    ,3.16        ,1.66          ,1.75            ,33.35          ,7      ,256      ,1       ,107
G68.TXT  ,0            ,3.63           ,0.55           ,0.97           ,0.72        ,0.68       ,2.24       ,1.77           ,0.17             ,0.17         ,3.12       ,5.11            ,4.09         ,0.8            ,0.17    ,2.2         ,1.65          ,0.46            ,28.5           ,7      ,257      ,1       ,107
G69.TXT  ,0            ,3              ,0.67           ,1.21           ,1           ,0.67       ,2.29       ,2.79           ,0.25             ,0.17         ,3.09       ,3.46            ,4.38         ,0.54           ,0.42    ,0.67        ,0.92          ,1.08            ,26.61          ,7      ,258      ,1       ,107
G70.TXT  ,3.2          ,6.05           ,0.98           ,1.96           ,1.2         ,0.45       ,4.54       ,2.05           ,0.18             ,0.89         ,2.76       ,5.03            ,4.72         ,0.45           ,0       ,0.89        ,1.07          ,0.76            ,37.18          ,7      ,259      ,1       ,107
G71.TXT  ,0.57         ,3.34           ,0.53           ,1.76           ,0.97        ,0.57       ,2.73       ,2.11           ,0.26             ,0.35         ,3.25       ,5.36            ,4.35         ,1.28           ,0.31    ,1.23        ,1.1           ,1.01            ,31.08          ,7      ,260      ,1       ,107
G72.TXT  ,0.17         ,3.44           ,0.87           ,1.74           ,1.79        ,0.39       ,2.09       ,3.14           ,0.48             ,0.17         ,2.61       ,3.75            ,2.05         ,0.65           ,0.09    ,1.09        ,1.26          ,0.78            ,26.56          ,7      ,261      ,1       ,107
G73.TXT  ,0.39         ,2.67           ,0.95           ,1.9            ,0.82        ,1.12       ,2.67       ,2.28           ,0.13             ,0.04         ,3.27       ,4.87            ,4.57         ,0.82           ,0.43    ,0.99        ,1.77          ,0.65            ,30.34          ,7      ,262      ,1       ,107
G74.TXT  ,0.68         ,3.08           ,0.59           ,2.74           ,1.1         ,0.59       ,3          ,1.9            ,0.04             ,0.34         ,2.87       ,5.61            ,4.39         ,0.42           ,0.38    ,1.73        ,1.56          ,0.42            ,31.44          ,7      ,263      ,1       ,107
G75.TXT  ,1.18         ,2.45           ,1.27           ,1.97           ,0.61        ,1.4        ,2.58       ,1              ,0.31             ,0.52         ,2.8        ,4.24            ,6.55         ,1.79           ,0.22    ,3.23        ,1.18          ,1.27            ,34.57          ,7      ,264      ,1       ,107
H01.TXT  ,0            ,0.97           ,0.16           ,0.24           ,1.34        ,0.08       ,0.89       ,3.44           ,0.61             ,0.24         ,1.78       ,1.94            ,4.82         ,0.61           ,0.12    ,1.3         ,1.3           ,0.4             ,20.24          ,8      ,265      ,1       ,108
H02.TXT  ,0            ,2.92           ,0.8            ,0.63           ,3.51        ,0.17       ,3.3        ,3.17           ,1.31             ,0.08         ,3.09       ,3.3             ,1.27         ,0.55           ,0.04    ,1.35        ,2.07          ,1.1             ,28.66          ,8      ,266      ,1       ,108
H03.TXT  ,1.9          ,2.67           ,1.27           ,0.95           ,0.86        ,0.5        ,3.17       ,5.43           ,0.05             ,0.59         ,3.08       ,4.66            ,4.39         ,1.04           ,0.23    ,0.72        ,1.9           ,0.23            ,33.64          ,8      ,267      ,1       ,108
H04.TXT  ,0            ,1.7            ,0.47           ,0.72           ,0.64        ,0.72       ,2.37       ,1.99           ,0.38             ,0.13         ,2.63       ,1.57            ,3.35         ,0.89           ,0       ,1.74        ,2.25          ,0.93            ,22.48          ,8      ,268      ,1       ,108
H05.TXT  ,0            ,2.76           ,0.49           ,0.76           ,1.51        ,0.76       ,2.89       ,1.91           ,0.22             ,0.18         ,2.49       ,3.73            ,4.27         ,0.84           ,0.13    ,1.33        ,1.2           ,0.8             ,26.27          ,8      ,269      ,1       ,108
H06.TXT  ,0            ,1.06           ,0.45           ,0.16           ,1.18        ,0.45       ,0.65       ,1.96           ,0.12             ,0.16         ,3.19       ,2.04            ,3.72         ,1.06           ,0       ,2.21        ,3.06          ,0.41            ,21.88          ,8      ,270      ,1       ,108
H07.TXT  ,0            ,2.36           ,0.29           ,0.83           ,1.12        ,0.12       ,2.23       ,2.44           ,0.29             ,0.17         ,3.47       ,3.64            ,3.14         ,0.7            ,0.41    ,0.87        ,1.45          ,0.58            ,24.11          ,8      ,271      ,1       ,108
H08.TXT  ,0.94         ,1.54           ,1.03           ,0.34           ,1.8         ,0.39       ,1.5        ,4.71           ,0.21             ,0.13         ,2.44       ,2.87            ,3.34         ,1.11           ,0.21    ,1.41        ,1.84          ,0.73            ,26.54          ,8      ,272      ,1       ,108
H09.TXT  ,0.12         ,1.25           ,0.32           ,0.08           ,2.02        ,0.08       ,1.37       ,4.41           ,0.12             ,0.12         ,2.18       ,2.67            ,2.99         ,0.69           ,0.16    ,1.05        ,1.7           ,0.4             ,21.73          ,8      ,273      ,1       ,108
H10.TXT  ,0.04         ,0.56           ,0.3            ,0.3            ,0.43        ,0.21       ,0.94       ,1.76           ,0.17             ,0.04         ,2.87       ,2.23            ,3.43         ,0.21           ,0.26    ,2.91        ,2.4           ,0.47            ,19.53          ,8      ,274      ,1       ,108
H11.TXT  ,0            ,1.47           ,0.52           ,0.65           ,0.91        ,0.78       ,1.6        ,1.94           ,0.13             ,0            ,2.67       ,2.37            ,4.53         ,1.34           ,0.22    ,2.07        ,1.38          ,0.34            ,22.92          ,8      ,275      ,1       ,108
H12.TXT  ,0.04         ,2.84           ,0.25           ,0.16           ,1.77        ,0.33       ,1.81       ,5.64           ,0.12             ,0            ,2.55       ,3.67            ,2.31         ,0.16           ,0       ,1.94        ,0.33          ,0.25            ,24.17          ,8      ,276      ,1       ,108
H13.TXT  ,0.57         ,2.32           ,0.69           ,0.98           ,1.75        ,1.06       ,1.71       ,2.16           ,0.49             ,0.53         ,3.38       ,2.89            ,4.23         ,0.77           ,0.33    ,1.14        ,0.98          ,0.73            ,26.71          ,8      ,277      ,1       ,108
H14.TXT  ,0            ,0.74           ,0.04           ,0.2            ,1.1         ,0.12       ,2.41       ,1.39           ,0.57             ,0            ,3.27       ,3.64            ,1.39         ,0.53           ,0.08    ,2.04        ,0.98          ,0.69            ,19.19          ,8      ,278      ,1       ,108
H15.TXT  ,0            ,2.21           ,0.47           ,1.32           ,2.34        ,0.6        ,1.66       ,1.4            ,1.02             ,0.51         ,2.34       ,1.36            ,10.29        ,2.47           ,0.38    ,1.36        ,0.6           ,0.77            ,31.1           ,8      ,279      ,1       ,108
H16.TXT  ,0            ,2.39           ,0.46           ,0.67           ,1.3         ,0.38       ,1.93       ,2.6            ,0.21             ,0            ,2.3        ,3.73            ,1.84         ,0.38           ,0       ,2.01        ,1.47          ,0.42            ,22.09          ,8      ,280      ,1       ,108
H17.TXT  ,0.12         ,1.84           ,0.42           ,0.46           ,0.88        ,0.15       ,3.77       ,2.96           ,0.23             ,0.04         ,2.92       ,6.34            ,1.46         ,0.27           ,0.08    ,1.77        ,2.57          ,0.5             ,26.78          ,8      ,281      ,1       ,108
H18.TXT  ,0.45         ,3.23           ,0.58           ,1.61           ,2.06        ,0.31       ,2.24       ,2.78           ,0.81             ,1.43         ,3.36       ,3.81            ,3.36         ,1.17           ,0.31    ,0.99        ,1.08          ,0.67            ,30.25          ,8      ,282      ,1       ,108
H19.TXT  ,0.05         ,3.46           ,0.96           ,0.55           ,3.5         ,0.09       ,1.91       ,5.37           ,0.96             ,0.5          ,2.91       ,2.73            ,3.5          ,0.55           ,0.18    ,1.18        ,2.05          ,0.64            ,31.09          ,8      ,283      ,1       ,108
H20.TXT  ,0            ,1.83           ,0.49           ,1.38           ,2.56        ,0.2        ,1.71       ,2.44           ,0.2              ,0            ,3.01       ,2.48            ,7.77         ,1.95           ,0.04    ,1.02        ,1.83          ,0.45            ,29.36          ,8      ,284      ,1       ,108
H21.TXT  ,0.34         ,1.71           ,0.9            ,0.6            ,1.32        ,0.51       ,2.26       ,2.6            ,0.38             ,0.04         ,3.84       ,2.77            ,2.09         ,0.34           ,0.17    ,1.28        ,1.92          ,0.64            ,23.71          ,8      ,285      ,1       ,108
H22.TXT  ,0.12         ,0.9            ,0.43           ,0.16           ,2.89        ,0.16       ,1.17       ,4.5            ,0.04             ,0            ,2.58       ,1.76            ,2.62         ,0.23           ,0       ,1.21        ,1.29          ,0.39            ,20.45          ,8      ,286      ,1       ,108
H23.TXT  ,0.22         ,2.88           ,0.53           ,0.31           ,1.68        ,0.22       ,2.83       ,3.28           ,0.49             ,0.09         ,3.23       ,2.97            ,1.73         ,0.44           ,0.04    ,1.2         ,1.51          ,1.02            ,24.67          ,8      ,287      ,1       ,108
H24.TXT  ,0            ,3.18           ,0.12           ,0.32           ,0.76        ,0.08       ,1.89       ,1.29           ,1.57             ,3.1          ,2.17       ,3.22            ,3.26         ,0.6            ,0.6     ,1.73        ,1.33          ,1.37            ,26.59          ,8      ,288      ,1       ,108
H25.TXT  ,0            ,2.5            ,0.79           ,1.05           ,1.23        ,0.39       ,3.28       ,4.33           ,0.13             ,0.13         ,2.19       ,3.46            ,3.77         ,0.83           ,0.09    ,1.18        ,1.18          ,0.48            ,27.01          ,8      ,289      ,1       ,108
H26.TXT  ,0.04         ,2.1            ,1.2            ,0.58           ,0.62        ,0.18       ,1.43       ,2.45           ,0.13             ,0.04         ,3.53       ,3.66            ,5.85         ,0.76           ,0.85    ,2.99        ,1.52          ,1.34            ,29.27          ,8      ,290      ,1       ,108
H27.TXT  ,0            ,1.16           ,0.78           ,0.43           ,1.68        ,0.65       ,1.55       ,3.23           ,0.26             ,0            ,3.53       ,2.07            ,4.7          ,0.99           ,0.65    ,1.34        ,1.9           ,0.6             ,25.52          ,8      ,291      ,1       ,108
H28.TXT  ,0            ,0.73           ,1.16           ,0.04           ,1.29        ,0.17       ,0.77       ,1.63           ,0.21             ,0            ,2.45       ,2.32            ,7.13         ,0.39           ,0.56    ,1.12        ,3.57          ,0.34            ,23.88          ,8      ,292      ,1       ,108
H29.TXT  ,0.48         ,2.12           ,0.78           ,0.39           ,1.17        ,0.65       ,2.08       ,1.38           ,0.39             ,0            ,2.85       ,2.94            ,2.77         ,0.91           ,0.22    ,1.3         ,1.38          ,1.47            ,23.28          ,8      ,293      ,1       ,108
H30.TXT  ,0            ,3.03           ,1.18           ,0.86           ,2.94        ,0.23       ,2.58       ,4.48           ,0.86             ,0.27         ,2.8        ,4.7             ,3.62         ,0.59           ,0.18    ,0.63        ,1.99          ,0.68            ,31.62          ,8      ,294      ,1       ,108
J01.TXT  ,0            ,3.15           ,0.13           ,0.35           ,0.66        ,0.71       ,2.22       ,0.98           ,0.35             ,0            ,2.57       ,2.62            ,4.88         ,1.2            ,0.13    ,1.2         ,1.86          ,0.44            ,23.45          ,9      ,295      ,1       ,109
J02.TXT  ,0            ,1.13           ,0.23           ,0.91           ,1.09        ,0.18       ,1.54       ,1.13           ,0.27             ,0            ,2.59       ,2.36            ,7.3          ,2.18           ,1       ,2.09        ,0.77          ,0.5             ,25.27          ,9      ,296      ,1       ,109
J03.TXT  ,0            ,2.51           ,0.18           ,0.99           ,0.9         ,0.31       ,1.97       ,1.79           ,0.31             ,0.04         ,3.9        ,3.18            ,2.82         ,1.7            ,1.21    ,1.43        ,0.54          ,0.4             ,24.18          ,9      ,297      ,1       ,109
J04.TXT  ,0            ,2.62           ,0.33           ,0.67           ,0.87        ,0.21       ,3.08       ,1              ,0.21             ,0            ,2.08       ,2.46            ,3.29         ,1.17           ,0.25    ,2.25        ,1             ,0.29            ,21.78          ,9      ,298      ,1       ,109
J05.TXT  ,0            ,2.64           ,0.62           ,0.84           ,1.32        ,0.44       ,2.42       ,1.63           ,0.22             ,0            ,3.48       ,2.82            ,4.71         ,0.97           ,1.15    ,1.89        ,1.19          ,0.4             ,26.74          ,9      ,299      ,1       ,109
J06.TXT  ,0.09         ,2.64           ,0.23           ,0.87           ,1           ,0.36       ,2.92       ,1.28           ,0.32             ,0.05         ,3.24       ,1.6             ,4.42         ,0.91           ,0.23    ,2.01        ,2.73          ,0.27            ,25.17          ,9      ,300      ,1       ,109
J07.TXT  ,0.04         ,3.16           ,0.58           ,0.58           ,0.71        ,0.54       ,2.83       ,0.92           ,0.42             ,0.12         ,2.83       ,1.91            ,4.12         ,1.29           ,0.08    ,1.17        ,1             ,0.46            ,22.76          ,9      ,301      ,1       ,109
J08.TXT  ,0            ,3.88           ,0.41           ,2.3            ,1.44        ,0.59       ,2.21       ,3.02           ,0.45             ,0.05         ,3.38       ,2.48            ,4.38         ,0.9            ,0.18    ,1.67        ,1.49          ,0.14            ,28.97          ,9      ,302      ,1       ,109
J09.TXT  ,0            ,1.29           ,0.08           ,0.5            ,0.17        ,0.33       ,1          ,0.63           ,0.08             ,0            ,2.42       ,2.38            ,3.22         ,0.67           ,0       ,3.01        ,2.3           ,0.63            ,18.71          ,9      ,303      ,1       ,109
J10.TXT  ,0.26         ,2.96           ,1.15           ,0.97           ,0.93        ,0.22       ,2.73       ,1.24           ,0.31             ,0.4          ,3.75       ,3.75            ,8.69         ,1.37           ,0.57    ,0.88        ,1.46          ,1.24            ,32.88          ,9      ,304      ,1       ,109
J11.TXT  ,0.18         ,3.94           ,0.39           ,1.31           ,0.66        ,0.31       ,3.33       ,1.8            ,0.26             ,0.09         ,2.76       ,3.24            ,4.64         ,1.93           ,0.35    ,1.62        ,1.23          ,0.66            ,28.7           ,9      ,305      ,1       ,109
J12.TXT  ,0.64         ,2.87           ,0.3            ,0.86           ,0.43        ,0.26       ,2.83       ,0.99           ,0.17             ,0.09         ,2.79       ,3.56            ,5.23         ,1.24           ,0.26    ,1.59        ,0.77          ,0.43            ,25.31          ,9      ,306      ,1       ,109
J13.TXT  ,0            ,2.53           ,0.31           ,0.65           ,0.61        ,0.39       ,2.75       ,1.88           ,0                ,0            ,3.23       ,3.18            ,6.54         ,1.31           ,0       ,0.92        ,1.05          ,0.83            ,26.18          ,9      ,307      ,1       ,109
J14.TXT  ,0            ,3.09           ,0.22           ,0.35           ,0.74        ,0.78       ,2.52       ,1.13           ,0.26             ,0.22         ,3.26       ,2.26            ,1.78         ,0.39           ,0.04    ,1.39        ,1.3           ,0.48            ,20.21          ,9      ,308      ,1       ,109
J15.TXT  ,0            ,1.47           ,0.08           ,1.77           ,0.25        ,0.51       ,1.39       ,1.89           ,0.08             ,0            ,1.68       ,1.98            ,6.99         ,0.97           ,0.04    ,3.92        ,1.81          ,0.55            ,25.38          ,9      ,309      ,1       ,109
J16.TXT  ,0            ,1.68           ,0.88           ,0.71           ,0.4         ,0.31       ,2.69       ,1.23           ,0.18             ,0            ,2.29       ,2.34            ,5.42         ,1.01           ,0.31    ,2.38        ,1.81          ,0.44            ,24.08          ,9      ,310      ,1       ,109
J17.TXT  ,0            ,2.66           ,1.31           ,1.74           ,0.57        ,0.52       ,2.57       ,1.4            ,0.13             ,0.09         ,3.36       ,3.14            ,1.7          ,1              ,0.31    ,1.7         ,2.57          ,0.26            ,25.03          ,9      ,311      ,1       ,109
J18.TXT  ,0.09         ,3.47           ,0.39           ,0.09           ,0.69        ,0.13       ,2.78       ,0.78           ,0.74             ,0.26         ,4.39       ,3.43            ,0.83         ,0.87           ,0.22    ,0.78        ,0.43          ,0.48            ,20.85          ,9      ,312      ,1       ,109
J19.TXT  ,0            ,2.68           ,0.94           ,0.47           ,0.6         ,0.13       ,3.71       ,2.51           ,0.3              ,0.6          ,3.45       ,2.94            ,1.79         ,0.47           ,0.26    ,1.41        ,2.56          ,0.6             ,25.42          ,9      ,313      ,1       ,109
J20.TXT  ,0            ,2.82           ,0.22           ,0.35           ,0.79        ,0.09       ,3.09       ,1.01           ,0.22             ,0.18         ,3.09       ,2.2             ,1.23         ,2.64           ,0.31    ,1.32        ,0.26          ,0.44            ,20.26          ,9      ,314      ,1       ,109
J21.TXT  ,0            ,2.59           ,0.04           ,0.26           ,0.39        ,0.09       ,3.77       ,0.74           ,0.31             ,0.04         ,3.99       ,3.07            ,2.32         ,1.75           ,0       ,0.7         ,0.26          ,0.09            ,20.41          ,9      ,315      ,1       ,109
J22.TXT  ,0            ,2.95           ,0.88           ,1.43           ,2.76        ,0.37       ,2.44       ,3.96           ,1.43             ,0            ,2.86       ,3.87            ,3.04         ,0.74           ,0.18    ,0.41        ,2.07          ,0.51            ,29.9           ,9      ,316      ,1       ,109
J23.TXT  ,0            ,2.54           ,2.02           ,0.99           ,0.52        ,0.39       ,3.18       ,4.04           ,0.09             ,0.04         ,3.27       ,3.48            ,1.98         ,0.73           ,0.04    ,1.25        ,1.16          ,0.47            ,26.19          ,9      ,317      ,1       ,109
J24.TXT  ,0.09         ,2.69           ,0.67           ,3.64           ,1.3         ,0.22       ,2.51       ,4.31           ,0.54             ,0.09         ,3.37       ,3.37            ,2.96         ,0.94           ,0.18    ,1.57        ,2.74          ,0.58            ,31.77          ,9      ,318      ,1       ,109
J25.TXT  ,0            ,2.63           ,1.49           ,1.01           ,0.83        ,0.48       ,2.14       ,2.28           ,0.18             ,0            ,4.29       ,4.03            ,1.79         ,0.31           ,0.04    ,1.01        ,1.53          ,0.35            ,24.39          ,9      ,319      ,1       ,109
J26.TXT  ,0            ,1.95           ,0.35           ,0.56           ,0.91        ,0.48       ,1.95       ,2.69           ,0.22             ,0.52         ,2.64       ,2.43            ,3.25         ,0.87           ,0.17    ,2.64        ,1.56          ,0.48            ,23.67          ,9      ,320      ,1       ,109
J27.TXT  ,0.27         ,4.36           ,0.85           ,0.71           ,1.11        ,0.62       ,4.63       ,1.87           ,0.31             ,0.31         ,3.16       ,5.61            ,4.54         ,0.93           ,0.09    ,2.98        ,1.69          ,0.67            ,34.71          ,9      ,321      ,1       ,109
J28.TXT  ,0.26         ,4.32           ,0.53           ,0.7            ,0.84        ,0.66       ,3.74       ,1.98           ,0.04             ,0.22         ,3.74       ,5.72            ,2.69         ,0.31           ,0.22    ,2.55        ,3.13          ,0.7             ,32.35          ,9      ,322      ,1       ,109
J29.TXT  ,0            ,2.51           ,0.4            ,2.69           ,1.32        ,0.13       ,3          ,2.87           ,0.09             ,0.09         ,2.96       ,3.31            ,3.88         ,0.66           ,0.04    ,2.38        ,1.28          ,0.4             ,28.01          ,9      ,323      ,1       ,109
J30.TXT  ,0.13         ,2.76           ,0.44           ,1.47           ,1.6         ,0.67       ,2.84       ,2.4            ,0.13             ,0.22         ,3.2        ,5.56            ,3.78         ,0.4            ,0.18    ,4.18        ,2.98          ,0.71            ,33.65          ,9      ,324      ,1       ,109
J31.TXT  ,2.43         ,3.64           ,0.39           ,1.61           ,0.78        ,0.35       ,2.47       ,2.08           ,0.04             ,0.65         ,3.3        ,6.55            ,3.21         ,1.08           ,0.35    ,1.21        ,2.3           ,0.78            ,33.22          ,9      ,325      ,1       ,109
J32.TXT  ,0            ,1.76           ,0.14           ,0.28           ,0.97        ,0.42       ,1.67       ,0.83           ,0.46             ,0            ,5.32       ,1.8             ,4.58         ,1.16           ,0       ,2.36        ,0.74          ,1.06            ,23.55          ,9      ,326      ,1       ,109
J33.TXT  ,0.89         ,3.89           ,1.03           ,3.62           ,1.7         ,0.31       ,4.38       ,1.03           ,0.22             ,1.07         ,3.45       ,2.73            ,3.4          ,1.39           ,0.27    ,1.3         ,1.61          ,1.16            ,33.45          ,9      ,327      ,1       ,109
J34.TXT  ,0.09         ,4.66           ,0.36           ,1.36           ,1.45        ,0.54       ,5.83       ,3.03           ,0.63             ,0.09         ,3.62       ,3.75            ,2.03         ,0.45           ,0.18    ,1.13        ,2.08          ,0.23            ,31.51          ,9      ,328      ,1       ,109
J35.TXT  ,0.66         ,3.64           ,0.12           ,0.5            ,0.87        ,0.37       ,3.72       ,1.49           ,0.29             ,0.29         ,2.15       ,4.76            ,2.56         ,0.41           ,0.25    ,1.24        ,1.08          ,0.37            ,24.77          ,9      ,329      ,1       ,109
J36.TXT  ,0            ,3              ,0.8            ,1.1            ,1.33        ,1.1        ,3.14       ,3.09           ,0.18             ,0.27         ,2.39       ,4.51            ,2.65         ,1.5            ,0.27    ,2.65        ,1.28          ,0.97            ,30.23          ,9      ,330      ,1       ,109
J37.TXT  ,0            ,2.76           ,1.14           ,1.01           ,1.18        ,0.48       ,2.76       ,2.93           ,0.09             ,0            ,3.2        ,2.32            ,2.71         ,0.53           ,0.26    ,2.67        ,4.51          ,0.83            ,29.38          ,9      ,331      ,1       ,109
J38.TXT  ,0.05         ,3.52           ,1.01           ,0.69           ,1.65        ,0.82       ,2.42       ,3.2            ,0.41             ,0.14         ,2.83       ,2.1             ,3.34         ,0.69           ,0.05    ,0.87        ,4.84          ,0.5             ,29.13          ,9      ,332      ,1       ,109
J39.TXT  ,0            ,3.52           ,0.94           ,1.2            ,1.5         ,0.34       ,3.47       ,1.59           ,0.21             ,0.6          ,3.39       ,3.9             ,4.46         ,1.03           ,0.51    ,1.03        ,1.76          ,0.51            ,29.96          ,9      ,333      ,1       ,109
J40.TXT  ,0.27         ,3.45           ,1.41           ,0.36           ,2.09        ,0.36       ,2.04       ,1.68           ,0.54             ,0.27         ,3.27       ,2.31            ,2.36         ,1.63           ,0.18    ,0.77        ,2.9           ,1.04            ,26.93          ,9      ,334      ,1       ,109
J41.TXT  ,0.09         ,2.44           ,0.53           ,1.11           ,1.69        ,0.36       ,3.68       ,3.15           ,0.4              ,0.04         ,3.64       ,2.84            ,0.71         ,0.67           ,0.27    ,1.33        ,0.75          ,0.98            ,24.68          ,9      ,335      ,1       ,109
J42.TXT  ,0            ,2.81           ,0.4            ,0.83           ,1.14        ,0.4        ,3.21       ,3.25           ,0.22             ,0            ,3.69       ,3.25            ,1.98         ,0.44           ,0.18    ,2.5         ,1.23          ,0.4             ,25.93          ,9      ,336      ,1       ,109
J43.TXT  ,0.04         ,3.09           ,0.66           ,1.1            ,1.5         ,0.44       ,2.87       ,3.8            ,0.22             ,0.22         ,2.43       ,3.84            ,1.19         ,0.93           ,0.09    ,1.77        ,0.88          ,0.62            ,25.69          ,9      ,337      ,1       ,109
J44.TXT  ,0            ,2.85           ,0.43           ,1.03           ,1.38        ,0.6        ,3.41       ,2.11           ,0.17             ,0.09         ,2.8        ,3.36            ,1.9          ,0.3            ,0.09    ,1.42        ,0.17          ,0.56            ,22.67          ,9      ,338      ,1       ,109
J45.TXT  ,0            ,2.19           ,0.36           ,0.27           ,1.25        ,0.45       ,1.79       ,1.83           ,0.04             ,0.22         ,3.79       ,2.72            ,2.9          ,0.71           ,0.13    ,3.17        ,1.88          ,0.76            ,24.46          ,9      ,339      ,1       ,109
J46.TXT  ,0.44         ,2.78           ,0.35           ,1.15           ,1.32        ,1.1        ,2.56       ,2.78           ,0.09             ,0.22         ,3.48       ,3.31            ,2.21         ,0.88           ,0.09    ,1.76        ,1.06          ,0.62            ,26.2           ,9      ,340      ,1       ,109
J47.TXT  ,0            ,2.32           ,0.54           ,1.83           ,1.47        ,0.27       ,3.08       ,3.13           ,0.49             ,0.18         ,4.73       ,4.02            ,7.5          ,0.8            ,0.09    ,0.71        ,2.77          ,0.4             ,34.33          ,9      ,341      ,1       ,109
J48.TXT  ,0.39         ,2.59           ,0.26           ,0.7            ,1.01        ,0.53       ,3.42       ,2.98           ,0.61             ,1.36         ,2.72       ,2.94            ,7.15         ,0.88           ,0.35    ,0.96        ,0.53          ,0.53            ,29.91          ,9      ,342      ,1       ,109
J49.TXT  ,0            ,3.25           ,1.28           ,0.73           ,1.46        ,0.32       ,2.65       ,4.81           ,0.09             ,0.37         ,3.16       ,3.43            ,5.17         ,0.46           ,0.09    ,0.87        ,1.6           ,0.59            ,30.33          ,9      ,343      ,1       ,109
J50.TXT  ,0.04         ,3.75           ,0.17           ,0.68           ,1.45        ,0.26       ,3.28       ,4.26           ,0.38             ,0.17         ,2.39       ,3.15            ,1.96         ,0.64           ,0.09    ,1.11        ,1.49          ,0.21            ,25.48          ,9      ,344      ,1       ,109
J51.TXT  ,0.09         ,3.02           ,0.53           ,1.24           ,1.38        ,0.49       ,3.07       ,3.51           ,0.44             ,0.44         ,3.42       ,2.89            ,1.82         ,0.53           ,0.13    ,0.71        ,0.62          ,0.71            ,25.04          ,9      ,345      ,1       ,109
J52.TXT  ,0.76         ,5.46           ,1.03           ,3.45           ,1.48        ,0.45       ,4.21       ,3.04           ,0.67             ,0.58         ,4.07       ,5.01            ,0.94         ,0.76           ,0.09    ,1.92        ,0.89          ,0.94            ,35.75          ,9      ,346      ,1       ,109
J53.TXT  ,0.04         ,5.82           ,0.3            ,0.65           ,0.95        ,0.52       ,3.17       ,2.43           ,0.17             ,0.43         ,3.04       ,5.25            ,2.91         ,1              ,0.82    ,1.91        ,1.48          ,0.56            ,31.45          ,9      ,347      ,1       ,109
J54.TXT  ,0.04         ,3.65           ,0.76           ,0.58           ,0.98        ,0.89       ,2.8        ,1.78           ,0.22             ,0.04         ,3.16       ,3.38            ,3.56         ,0.8            ,0.31    ,1.73        ,1.91          ,0.8             ,27.39          ,9      ,348      ,1       ,109
